Release,Filename,LOC,NR,nAuth,locTouched,locAdded,max_locAdded,avg_locAdded,churn,max_churn,avg_churn,chgSetSize,max_chgSetSize,avg_chgSetSize,Buggy
1,zookeeper-server/src/main/java/org/apache/zookeeper/Watcher.java,92,13,3,225,198,64,10,1694,173,130.0,0,0,0,N
1,zookeeper-server/src/main/java/org/apache/zookeeper/ZooDefs.java,83,14,4,256,241,114,30,2962,230,212.0,0,0,0,N
1,zookeeper-server/src/main/java/org/apache/zookeeper/ZooKeeper.java,974,37,6,6635,4267,874,21,59871,2005,1618.0,0,0,0,Y
1,zookeeper-server/src/main/java/org/apache/zookeeper/ZooKeeperMain.java,214,6,2,260,246,228,21,1369,232,228.0,0,0,0,N
1,zookeeper-server/src/main/java/org/apache/zookeeper/server/ByteBufferInputStream.java,62,9,3,156,149,70,37,1192,142,132.0,0,0,0,N
1,zookeeper-server/src/main/java/org/apache/zookeeper/server/DataNode.java,112,17,5,299,258,92,11,3158,217,186.0,0,0,0,N
1,zookeeper-server/src/main/java/org/apache/zookeeper/server/DataTree.java,750,32,5,1651,1506,546,11,32295,1361,1009.0,0,0,0,N
1,zookeeper-server/src/main/java/org/apache/zookeeper/server/FinalRequestProcessor.java,252,23,6,1616,1062,243,25,9517,508,414.0,0,0,0,N
1,zookeeper-server/src/main/java/org/apache/zookeeper/server/LogFormatter.java,66,11,4,168,155,70,16,1401,142,127.0,0,0,0,N
1,zookeeper-server/src/main/java/org/apache/zookeeper/server/NIOServerCnxn.java,800,23,5,5534,3627,850,34,33040,1720,1437.0,0,0,0,N
1,zookeeper-server/src/main/java/org/apache/zookeeper/server/PrepRequestProcessor.java,440,27,6,2831,1868,445,31,20543,906,761.0,0,0,0,N
1,zookeeper-server/src/main/java/org/apache/zookeeper/server/PurgeTxnLog.java,87,13,3,733,455,85,25,1924,177,148.0,0,0,0,N
1,zookeeper-server/src/main/java/org/apache/zookeeper/server/Request.java,176,17,6,444,414,187,18,5602,384,330.0,0,0,0,N
1,zookeeper-server/src/main/java/org/apache/zookeeper/server/RequestProcessor.java,34,9,3,86,79,35,20,597,72,66.0,0,0,0,N
1,zookeeper-server/src/main/java/org/apache/zookeeper/server/ServerCnxn.java,58,13,3,183,168,75,21,1803,153,139.0,0,0,0,N
1,zookeeper-server/src/main/java/org/apache/zookeeper/server/ServerConfig.java,65,12,3,312,224,67,22,1395,136,116.0,0,0,0,N
1,zookeeper-server/src/main/java/org/apache/zookeeper/server/ServerStats.java,131,10,3,291,283,135,47,2572,275,257.0,0,0,0,N
1,zookeeper-server/src/main/java/org/apache/zookeeper/server/SessionTracker.java,48,10,3,132,123,56,21,1066,114,107.0,0,0,0,N
1,zookeeper-server/src/main/java/org/apache/zookeeper/server/SessionTrackerImpl.java,191,19,5,551,495,220,12,6550,442,345.0,0,0,0,N
1,zookeeper-server/src/main/java/org/apache/zookeeper/server/SyncRequestProcessor.java,118,18,5,1860,1127,264,25,7881,545,438.0,0,0,0,N
1,zookeeper-server/src/main/java/org/apache/zookeeper/server/TraceFormatter.java,111,10,4,256,246,117,35,2227,236,223.0,0,0,0,N
1,zookeeper-server/src/main/java/org/apache/zookeeper/server/watch/WatchManager.java,101,15,3,262,236,97,9,2627,210,175.0,0,0,0,N
1,zookeeper-server/src/main/java/org/apache/zookeeper/server/ZooKeeperServer.java,546,32,6,9865,5701,927,29,46076,1911,1440.0,0,0,0,N
1,zookeeper-server/src/main/java/org/apache/zookeeper/server/ZooKeeperServerMain.java,71,2,2,88,84,74,14,154,80,77.0,0,0,0,N
1,zookeeper-server/src/main/java/org/apache/zookeeper/server/ZooTrace.java,72,11,3,384,283,92,40,1896,182,172.0,0,0,0,N
1,zookeeper-server/src/main/java/org/apache/zookeeper/server/auth/AuthenticationProvider.java,74,9,3,176,168,79,34,1345,160,149.0,0,0,0,N
1,zookeeper-server/src/main/java/org/apache/zookeeper/server/auth/DigestAuthenticationProvider.java,112,12,4,780,516,127,47,2626,252,219.0,0,0,0,N
1,src/java/main/org/apache/zookeeper/server/auth/HostAuthenticationProvider.java,58,10,3,154,143,65,20,1237,132,124.0,383,159,128,N
1,zookeeper-server/src/main/java/org/apache/zookeeper/server/auth/IPAuthenticationProvider.java,104,10,3,250,239,113,34,2149,228,215.0,0,0,0,N
1,zookeeper-server/src/main/java/org/apache/zookeeper/server/auth/ProviderRegistry.java,69,13,4,444,295,70,21,1575,146,121.0,0,0,0,N
1,zookeeper-server/src/main/java/org/apache/zookeeper/server/persistence/FileSnap.java,150,5,3,181,170,134,8,734,159,147.0,0,0,0,N
1,zookeeper-server/src/main/java/org/apache/zookeeper/server/persistence/FileTxnLog.java,477,4,2,497,491,480,61,1926,485,482.0,0,0,0,N
1,zookeeper-server/src/main/java/org/apache/zookeeper/server/persistence/FileTxnSnapLog.java,236,4,3,262,254,236,36,966,246,242.0,0,0,0,N
1,zookeeper-server/src/main/java/org/apache/zookeeper/server/persistence/SnapShot.java,57,2,2,62,61,59,31,119,60,60.0,0,0,0,N
1,zookeeper-server/src/main/java/org/apache/zookeeper/server/persistence/TxnLog.java,109,1,1,115,115,115,115,115,115,115.0,0,0,0,N
1,zookeeper-server/src/main/java/org/apache/zookeeper/server/persistence/Util.java,289,3,3,369,337,336,112,947,336,316.0,0,0,0,N
1,zookeeper-server/src/main/java/org/apache/zookeeper/server/quorum/AckRequestProcessor.java,39,9,3,106,97,43,19,733,88,81.0,0,0,0,N
1,zookeeper-server/src/main/java/org/apache/zookeeper/server/quorum/AuthFastLeaderElection.java,758,19,6,7402,4603,908,82,28982,1816,1525.0,0,0,0,N
1,zookeeper-server/src/main/java/org/apache/zookeeper/server/quorum/CommitProcessor.java,171,18,5,1139,751,177,25,5227,363,290.0,0,0,0,N
1,zookeeper-server/src/main/java/org/apache/zookeeper/server/quorum/Election.java,22,11,4,54,44,18,6,196,34,18.0,0,0,0,N
1,zookeeper-server/src/main/java/org/apache/zookeeper/server/quorum/FastLeaderElection.java,566,20,6,2507,1817,522,17,18801,1127,940.0,0,0,0,Y
1,zookeeper-server/src/main/java/org/apache/zookeeper/server/quorum/Follower.java,354,23,6,3818,2281,369,29,13503,744,587.0,0,0,0,N
1,zookeeper-server/src/main/java/org/apache/zookeeper/server/quorum/LearnerHandler.java,361,22,6,2507,1646,391,24,13847,785,629.0,0,0,0,N
1,zookeeper-server/src/main/java/org/apache/zookeeper/server/quorum/FollowerRequestProcessor.java,93,17,5,241,222,96,12,2801,203,165.0,0,0,0,N
1,zookeeper-server/src/main/java/org/apache/zookeeper/server/quorum/LearnerSessionTracker.java,71,11,4,199,184,84,14,1669,169,152.0,0,0,0,N
1,zookeeper-server/src/main/java/org/apache/zookeeper/server/quorum/LearnerSyncRequest.java,30,2,2,34,34,18,17,50,34,25.0,0,0,0,N
1,zookeeper-server/src/main/java/org/apache/zookeeper/server/quorum/FollowerZooKeeperServer.java,160,23,6,495,420,168,8,6201,348,270.0,0,0,0,N
1,zookeeper-server/src/main/java/org/apache/zookeeper/server/quorum/Leader.java,586,21,6,1582,1401,587,14,20561,1220,979.0,0,0,0,N
1,src/java/main/org/apache/zookeeper/server/quorum/LeaderElection.java,181,18,5,1230,801,201,25,5442,372,302.0,446,159,64,N
1,zookeeper-server/src/main/java/org/apache/zookeeper/server/quorum/LeaderZooKeeperServer.java,77,16,5,239,205,83,9,2242,171,140.0,0,0,0,N
1,zookeeper-server/src/main/java/org/apache/zookeeper/server/quorum/ProposalRequestProcessor.java,67,15,5,261,205,73,11,1826,156,122.0,0,0,0,N
1,zookeeper-server/src/main/java/org/apache/zookeeper/server/quorum/QuorumCnxManager.java,503,16,5,3072,2144,656,18,17217,1281,1076.0,0,0,0,N
1,zookeeper-server/src/main/java/org/apache/zookeeper/server/quorum/QuorumPeer.java,533,29,6,6317,3739,573,25,27434,1246,946.0,0,0,0,Y
1,zookeeper-server/src/main/java/org/apache/zookeeper/server/quorum/QuorumPeerConfig.java,214,18,4,1734,1086,210,25,6459,438,359.0,0,0,0,N
1,zookeeper-server/src/main/java/org/apache/zookeeper/server/quorum/QuorumPeerMain.java,104,3,2,124,117,112,20,333,112,111.0,0,0,0,N
1,zookeeper-server/src/main/java/org/apache/zookeeper/server/quorum/QuorumStats.java,77,11,3,225,191,76,24,1605,157,146.0,0,0,0,N
1,zookeeper-server/src/main/java/org/apache/zookeeper/server/quorum/SendAckRequestProcessor.java,45,13,3,158,132,52,9,1083,106,83.0,0,0,0,N
1,zookeeper-server/src/main/java/org/apache/zookeeper/server/quorum/Vote.java,61,12,4,186,150,45,15,1005,114,84.0,0,0,0,Y
1,src/java/main/org/apache/zookeeper/server/upgrade/DataNodeV1.java,116,1,1,129,129,129,129,129,129,129.0,13,13,13,N
1,src/java/main/org/apache/zookeeper/server/upgrade/DataTreeV1.java,536,1,1,582,582,582,582,582,582,582.0,13,13,13,N
1,src/java/main/org/apache/zookeeper/server/upgrade/UpgradeMain.java,176,1,1,181,181,181,181,181,181,181.0,13,13,13,N
1,src/java/main/org/apache/zookeeper/server/upgrade/UpgradeSnapShot.java,29,1,1,33,33,33,33,33,33,33.0,13,13,13,N
1,src/java/main/org/apache/zookeeper/server/upgrade/UpgradeSnapShotV1.java,318,1,1,323,323,323,323,323,323,323.0,13,13,13,N
1,src/java/main/org/apache/zookeeper/server/util/Profiler.java,35,12,3,246,162,40,15,802,78,67.0,402,159,101,N
1,zookeeper-server/src/main/java/org/apache/zookeeper/server/util/SerializeUtils.java,97,1,1,105,105,105,105,105,105,105.0,0,0,0,N
1,zookeeper-server/src/main/java/org/apache/zookeeper/version/util/VerGen.java,113,13,3,509,369,109,18,2617,229,201.0,0,0,0,N
1,zookeeper-server/src/test/java/org/apache/zookeeper/server/CRCTest.java,147,1,1,155,155,155,155,155,155,155.0,0,0,0,N
1,src/java/test/org/apache/zookeeper/server/DataTreeUnitTest.java,49,1,1,56,56,56,56,56,56,56.0,34,34,34,N
1,zookeeper-server/src/test/java/org/apache/zookeeper/server/DeserializationPerfTest.java,86,9,3,245,220,89,13,1524,195,169.0,0,0,0,N
1,zookeeper-server/src/test/java/org/apache/zookeeper/server/SerializationPerfTest.java,93,10,4,298,258,105,12,1944,218,194.0,0,0,0,N
1,zookeeper-server/src/test/java/org/apache/zookeeper/server/ZooKeeperServerTest.java,71,10,3,327,244,70,14,1369,161,137.0,0,0,0,N
1,zookeeper-server/src/test/java/org/apache/zookeeper/test/ACLTest.java,146,1,1,155,155,155,155,155,155,155.0,0,0,0,N
1,zookeeper-server/src/test/java/org/apache/zookeeper/test/AsyncOps.java,467,3,3,510,505,487,51,1475,500,492.0,0,0,0,N
1,zookeeper-server/src/test/java/org/apache/zookeeper/test/AsyncOpsTest.java,152,2,2,182,180,178,60,356,178,178.0,0,0,0,N
1,zookeeper-server/src/test/java/org/apache/zookeeper/test/AsyncTest.java,244,18,5,1043,764,208,7,6758,486,375.0,0,0,0,N
1,zookeeper-server/src/test/java/org/apache/zookeeper/test/ClientBase.java,349,14,3,471,426,146,9,3350,381,239.0,0,0,0,N
1,zookeeper-server/src/test/java/org/apache/zookeeper/test/ClientTest.java,703,26,5,2046,1565,347,7,19082,1084,734.0,0,0,0,N
1,zookeeper-server/src/test/java/org/apache/zookeeper/test/CreateModeTest.java,73,1,1,81,81,81,81,81,81,81.0,0,0,0,N
1,zookeeper-server/src/test/java/org/apache/zookeeper/server/DataTreeTest.java,53,13,5,176,148,59,6,1411,121,109.0,0,0,0,N
1,zookeeper-server/src/test/java/org/apache/zookeeper/test/DisconnectableZooKeeper.java,48,1,1,54,54,54,54,54,54,54.0,0,0,0,N
1,zookeeper-server/src/test/java/org/apache/zookeeper/test/EventTypeTest.java,42,1,1,50,50,50,50,50,50,50.0,0,0,0,N
1,zookeeper-server/src/test/java/org/apache/zookeeper/test/FLETest.java,309,2,2,405,363,193,15,514,321,257.0,0,0,0,N
1,src/java/test/org/apache/zookeeper/test/GenerateLoad.java,451,13,4,1101,1044,490,21,11638,987,895.0,283,159,47,N
1,zookeeper-server/src/test/java/org/apache/zookeeper/test/IntegrityCheck.java,205,12,3,524,486,216,15,4770,448,398.0,0,0,0,N
1,zookeeper-server/src/test/java/org/apache/zookeeper/test/KeeperStateTest.java,42,1,1,50,50,50,50,50,50,50.0,0,0,0,N
