Release;Filename;LOC;NR;nAuth;locTouched;locAdded;max_locAdded;avg_locAdded;churn;max_churn;avg_churn;chgSetSize;max_chgSetSize;avg_chgSetSize;Buggy
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/util/Main.java;47;3;3;10;5;5;3.0;0;0;3.0;116;116;37.0;N
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/util/MathUtils.java;30;2;2;10;5;5;3.0;0;0;3.0;78;78;30.0;Y
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/util/OrderedSafeExecutor.java;83;2;2;8;4;4;3.0;0;0;3.0;78;78;30.0;N
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/util/SafeRunnable.java;32;3;3;21;11;11;6.0;1;1;6.0;127;127;42.0;N
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/util/StringUtils.java;59;3;3;33;4;4;3.0;-25;0;3.0;116;116;37.0;N
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/util/ZkUtils.java;83;1;1;94;94;94;94.0;94;94;94.0;0;0;0.0;Y
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/BookieLayoutVersionTest.java;237;3;3;321;291;291;270.0;261;261;270.0;81;81;33.0;Y
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/EntryLogTest.java;81;1;1;90;90;90;90.0;90;90;90.0;0;0;0.0;Y
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookKeeperTestClient.java;64;4;4;77;74;74;68.0;71;71;68.0;160;160;49.0;N
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookieRecoveryTest.java;549;5;5;275;243;243;179.0;211;214;179.0;186;186;81.0;Y
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/client/LedgerCacheTest.java;123;4;4;19;13;13;6.0;7;7;6.0;133;133;47.0;N
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/client/TestFencing.java;310;3;3;351;348;348;345.0;345;345;345.0;81;81;32.0;Y
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalAsyncLedgerOpsTest.java;40;1;1;47;47;47;47.0;47;47;47.0;0;0;0.0;N
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalBookieFailureTest.java;40;1;1;47;47;47;47.0;47;47;47.0;0;0;0.0;N
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalBookieReadWriteTest.java;40;1;1;47;47;47;47.0;47;47;47.0;0;0;0.0;N
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalBookieRecoveryTest.java;39;1;1;46;46;46;46.0;46;46;46.0;0;0;0.0;N
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalLedgerDeleteTest.java;40;1;1;47;47;47;47.0;47;47;47.0;0;0;0.0;N
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/LedgerLayoutTest.java;118;1;1;136;136;136;136.0;136;136;136.0;0;0;0.0;N
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/TestLedgerManager.java;235;1;1;261;261;261;261.0;261;261;261.0;0;0;0.0;N
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/proto/TestProtoVersions.java;101;2;2;115;114;114;114.0;113;113;114.0;53;53;22.0;N
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/AsyncLedgerOpsTest.java;212;4;4;42;22;22;11.0;2;2;11.0;200;200;68.0;N
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BaseTestCase.java;223;12;12;219;150;150;65.0;81;81;65.0;730;730;261.0;Y
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieClientTest.java;224;6;6;76;43;43;21.0;10;10;21.0;292;292;88.0;Y
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieFailureTest.java;253;6;6;68;34;34;17.0;0;0;17.0;328;328;113.0;Y
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieJournalRollingTest.java;193;3;3;275;247;247;233.0;219;223;233.0;81;81;31.0;Y
